isGood,BuyId,Score,Score2,Spread
FALSE,E131153,3.7808,3.5719,0.0553
TRUE,J627491,14.6556,4.2273,0.7116
FALSE,J586015,3.0922,3.0853,0.0022
FALSE,F155924,2.9970,2.9521,0.0150
TRUE,1144924,5.0771,2.6568,0.4767
TRUE,J827793,6.3986,5.5475,0.1330
FALSE,E042460,3.9940,3.9426,0.0129
TRUE,J960846,8.6457,7.3966,0.1445
FALSE,E778170,2.8156,2.7471,0.0243
FALSE,J420995,3.1361,3.1067,0.0094
FALSE,F147933,2.5991,2.5230,0.0293
TRUE,J616135,10.1557,3.4533,0.6600
FALSE,E279703,5.7741,5.5390,0.0407
FALSE,A060931,3.9719,3.9086,0.0159
FALSE,F461150,2.4589,2.3821,0.0312
FALSE,1608917,5.5202,5.2537,0.0483
TRUE,F220199,7.7318,3.3876,0.5619
TRUE,H128328,7.3795,5.3754,0.2716
FALSE,1797291,3.6217,3.6073,0.0040
FALSE,1807929,4.1205,4.1184,0.0005
FALSE,1644185,2.2871,1.9864,0.1315
TRUE,1413374,11.0224,3.7832,0.6568
FALSE,G337496,3.6644,3.6573,0.0019
TRUE,A047664,10.3797,4.0542,0.6094
FALSE,E576721,3.8503,2.7168,0.2944
FALSE,E001127,3.1192,2.9620,0.0504
TRUE,H046927,9.8614,5.3701,0.4554
FALSE,G793409,2.2409,2.2086,0.0144
TRUE,E550249,14.2395,4.3786,0.6925
FALSE,A054408,3.8417,3.1288,0.1856
TRUE,1050453,10.0245,6.3528,0.3663
TRUE,1596573,13.9662,4.2534,0.6954
FALSE,G943561,3.7873,3.6884,0.0261
FALSE,1298974,3.1942,3.0416,0.0478
FALSE,1568923,2.7793,2.7405,0.0140
FALSE,B092389,3.0561,2.6141,0.1446
FALSE,F540178,4.3483,4.2133,0.0311
FALSE,E062689,2.4450,2.4185,0.0108
TRUE,F279286,10.7618,2.3419,0.7824
FALSE,1745535,2.7829,2.6386,0.0519
FALSE,E614315,2.7489,2.3180,0.1567
TRUE,J352253,7.7968,3.8752,0.5030
TRUE,A069175,7.8455,4.7412,0.3957
FALSE,1506512,1.8761,1.7966,0.0424
FALSE,J372208,2.9237,2.9214,0.0008
FALSE,1454903,2.4210,2.3023,0.0490
FALSE,F705454,3.7697,3.7542,0.0041
FALSE,G192388,4.5378,4.0894,0.0988
TRUE,D108474,10.7799,3.8626,0.6417
FALSE,H236877,2.3487,2.2700,0.0335
TRUE,J895779,7.5631,4.9419,0.3466
FALSE,1421708,3.2196,2.8822,0.1048
FALSE,B122951,2.9867,2.6780,0.1033
FALSE,1240057,3.0012,2.4839,0.1724
FALSE,1597270,3.4422,3.2100,0.0675
TRUE,E217854,6.8522,3.3079,0.5173
FALSE,G751017,3.0001,2.9844,0.0052
TRUE,1826501,14.7725,4.3732,0.7040
FALSE,1132215,4.9251,3.6104,0.2669
TRUE,F730822,6.5347,4.3433,0.3354
TRUE,G891679,6.7192,4.7412,0.2944
TRUE,E633548,9.2016,4.1900,0.5446
